cohort_id	case_barcode	sample_barcode	project_short_name	date_added	build	gdc_file_uuid	gdc_case_uuid	platform	exp_strategy	data_category	data_type	data_format	cloud_storage_location	file_size_bytes	project	type	ntype
1	TCGA-2A-A8VL	TCGA-2A-A8VL-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	b469215a-7486-4411-b9b9-a605b9097c16	49197847-cc83-4ce1-8397-d09cea4c4928	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/b469215a-7486-4411-b9b9-a605b9097c16/C529.TCGA-2A-A8VL-01A-21D-A377-08.1_gdc_realn.bam	8043777268	PRAD	tumor	2
1	TCGA-2A-A8VL	TCGA-2A-A8VL-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	baef0d08-101b-49ed-ab2c-c87daa034fb8	49197847-cc83-4ce1-8397-d09cea4c4928	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/baef0d08-101b-49ed-ab2c-c87daa034fb8/C529.TCGA-2A-A8VL-10A-01D-A37A-08.1_gdc_realn.bam	7947523555	PRAD	normal	2
1	TCGA-2A-A8VO	TCGA-2A-A8VO-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	fd08e948-1c57-409e-988c-63092ab7a671	91c0d161-2b59-4b7a-8c19-6d26dea31849	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/fd08e948-1c57-409e-988c-63092ab7a671/C529.TCGA-2A-A8VO-01A-11D-A377-08.1_gdc_realn.bam	8844169394	PRAD	tumor	2
1	TCGA-2A-A8VO	TCGA-2A-A8VO-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	a46ce4c1-23b9-4531-ba93-d511a846596a	91c0d161-2b59-4b7a-8c19-6d26dea31849	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/a46ce4c1-23b9-4531-ba93-d511a846596a/C529.TCGA-2A-A8VO-10A-01D-A37A-08.1_gdc_realn.bam	8094152740	PRAD	normal	2
1	TCGA-2A-A8VT	TCGA-2A-A8VT-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	98712089-039a-4e41-9aea-cd30b47e260f	931b549f-b9f2-4e8d-83ed-ff663671883c	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/98712089-039a-4e41-9aea-cd30b47e260f/C529.TCGA-2A-A8VT-01A-11D-A377-08.1_gdc_realn.bam	6222996560	PRAD	tumor	2
1	TCGA-2A-A8VT	TCGA-2A-A8VT-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	7cde0c8a-de5e-4999-b66b-2a1398740259	931b549f-b9f2-4e8d-83ed-ff663671883c	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/7cde0c8a-de5e-4999-b66b-2a1398740259/C529.TCGA-2A-A8VT-10A-01D-A37A-08.1_gdc_realn.bam	9612705203	PRAD	normal	2
1	TCGA-2A-A8VV	TCGA-2A-A8VV-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	3223dc5a-be53-4ee8-9eef-977bec42e99e	75a7afb5-66d5-47e3-8a8a-3e3a1e749a96	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/3223dc5a-be53-4ee8-9eef-977bec42e99e/C529.TCGA-2A-A8VV-01A-11D-A377-08.1_gdc_realn.bam	9914959760	PRAD	tumor	2
1	TCGA-2A-A8VV	TCGA-2A-A8VV-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	a36e8874-3d43-4610-865b-6f59702f75d7	75a7afb5-66d5-47e3-8a8a-3e3a1e749a96	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/a36e8874-3d43-4610-865b-6f59702f75d7/C529.TCGA-2A-A8VV-10A-01D-A37A-08.1_gdc_realn.bam	9525266611	PRAD	normal	2
1	TCGA-2A-A8VX	TCGA-2A-A8VX-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	0f4643a3-b557-40cc-9f86-bccf1dee459a	942f1788-d977-4ac0-a177-659f9d4cd077	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/0f4643a3-b557-40cc-9f86-bccf1dee459a/C529.TCGA-2A-A8VX-01A-11D-A377-08.1_gdc_realn.bam	7815185807	PRAD	tumor	2
1	TCGA-2A-A8VX	TCGA-2A-A8VX-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	ce3daabb-8535-470f-a142-f723aa39d5ed	942f1788-d977-4ac0-a177-659f9d4cd077	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/ce3daabb-8535-470f-a142-f723aa39d5ed/C529.TCGA-2A-A8VX-10A-01D-A37A-08.1_gdc_realn.bam	7519351708	PRAD	normal	2
1	TCGA-2A-A8W1	TCGA-2A-A8W1-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	c0462c4d-1b3a-4b54-87a1-b677a901f7ee	f5319fd5-beae-4ca8-8f42-45fca5e6a2d2	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/c0462c4d-1b3a-4b54-87a1-b677a901f7ee/C529.TCGA-2A-A8W1-01A-11D-A377-08.1_gdc_realn.bam	8484958704	PRAD	tumor	2
1	TCGA-2A-A8W1	TCGA-2A-A8W1-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	063d7060-2fed-49b6-8921-58357348f056	f5319fd5-beae-4ca8-8f42-45fca5e6a2d2	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/063d7060-2fed-49b6-8921-58357348f056/C529.TCGA-2A-A8W1-10A-01D-A37A-08.1_gdc_realn.bam	8733743627	PRAD	normal	2
1	TCGA-2A-A8W3	TCGA-2A-A8W3-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	efa762f4-31a0-4a50-acfe-a088afaa9942	5a790086-4887-4d2b-9c28-0fdd5dd1f1fb	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/efa762f4-31a0-4a50-acfe-a088afaa9942/C529.TCGA-2A-A8W3-01A-11D-A377-08.1_gdc_realn.bam	8566622972	PRAD	tumor	2
1	TCGA-2A-A8W3	TCGA-2A-A8W3-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	352141b4-4cd0-4163-9b50-8ee380d30443	5a790086-4887-4d2b-9c28-0fdd5dd1f1fb	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/352141b4-4cd0-4163-9b50-8ee380d30443/C529.TCGA-2A-A8W3-10A-01D-A37A-08.1_gdc_realn.bam	8212139402	PRAD	normal	2
1	TCGA-2A-AAYF	TCGA-2A-AAYF-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	a729cc88-cdab-4426-93a2-885059b21c76	490e84ed-3c02-4593-990e-ade5c109df44	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/a729cc88-cdab-4426-93a2-885059b21c76/C529.TCGA-2A-AAYF-01A-11D-A41K-08.1_gdc_realn.bam	10720635831	PRAD	tumor	2
1	TCGA-2A-AAYF	TCGA-2A-AAYF-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	579756b8-1f97-4609-a07b-dab2c130448e	490e84ed-3c02-4593-990e-ade5c109df44	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/579756b8-1f97-4609-a07b-dab2c130448e/C529.TCGA-2A-AAYF-10A-01D-A41N-08.3_gdc_realn.bam	8099860905	PRAD	normal	2
1	TCGA-2A-AAYO	TCGA-2A-AAYO-01A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	d5514dbe-f2d7-4bdc-ac5b-87b7edecddc8	8c0d361f-eaab-4768-90f2-b7a610e2bbb1	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/d5514dbe-f2d7-4bdc-ac5b-87b7edecddc8/C529.TCGA-2A-AAYO-01A-11D-A41K-08.1_gdc_realn.bam	9933306653	PRAD	tumor	2
1	TCGA-2A-AAYO	TCGA-2A-AAYO-10A	TCGA-PRAD	2019-02-27 12:41:43 UTC	hg38	73cedd35-a203-4104-b550-392a3c42422e	8c0d361f-eaab-4768-90f2-b7a610e2bbb1	Illumina	WXS	Raw Sequencing Data	WXS	BAM	gs://7008814a-277f-4fd4-aa61-flattened/73cedd35-a203-4104-b550-392a3c42422e/C529.TCGA-2A-AAYO-10A-01D-A41N-08.3_gdc_realn.bam	8743613723	PRAD	normal	2
